id,decision,confidence,reason
587,N,high,Abstract only no full text available
148,N,medium,Proposes digital twin based platform without creating or evaluating a human digital twin
72,Y,high,Claims creation of patient digital twins and implements virtual trials in a peer reviewed original article
909,Y,high,Describes and validates a personalized human digital twin model for alcohol consumption using human data
616,N,high,Abstract only not full text available
517,N,high,Abstract e-poster only not full text despite human digital twin claim
851,Y,high,Peer-reviewed original research creates and uses human digital twins to evaluate ankle motion axis
120,N,high,Abstract only conference e-poster lacks full text availability
969,N,high,Not peer-reviewed medRxiv preprint failing inclusion criteria despite discussing a data-driven human digital twin
1166,Y,high,Peer-reviewed full text implementing and evaluating patient-specific human cardiac digital twins using imaging and mapping data
