id,title,abstract
446,Estimation of Pulmonary Vascular Resistance of Children with Single Ventricle in Glenn Physiology,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
771,Can a digital twin of the residuum improve bionic solutions for individuals suffering from limb loss?,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
41,"Quantum Electrochemical Spectroscopy (QES), a broad bioanalytical platform for robust and scalable data collection from biological systems",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
407,Development and validation of a digital twin of the human lower jaw under impact loading by using non-linear finite element analyses,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
167,Preliminary clinical validation of a predictive digital twin software for management of cardiogenic shock patients,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
966,Advanced modelling of residuum to improve bionic limbs,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
960,A healthcare digital twin platform architecture based on oneM2M standards,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1272,INNOVATIVE RESEARCH ON APPLICATION OF MULTIMODAL IMAGE FUSION NAVIGATION ROBOT TECHNOLOGY IN TUMOR ABLATION,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
202,A Review and Qualitative Meta-Analysis of Digital Human Modeling and Cyber-Physical-Systems in Ergonomics 4.0,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1245,Evaluation of a computational platform for predicting temporal progression of mucosal damage and healing in patients with crohn's disease,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
431,GAINING CONSENSUS ON EXPERT RULE STATEMENTS FOR A DIGITAL TWIN PATIENT MODEL IN THE ICU USING A DELPHI METHOD,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
786,ESTIMATING THE IMPACT OF WEIGHT MANAGEMENT TREATMENTS ON CHILDHOOD OBESITY IN ENGLAND,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
375,Digital decision support for structural improvement of lung cancer tumor boards: Using standard cases to optimize workflow,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
104,Glycemic Control with Improvement in HOMA2 IR and HOMA2 Beta: Impact of Digital Twin Enabled Precision Nutrition for Remission of Diabetes,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1146,"IDF21-0598 Remission of T2DM by digital twin technology across Indian and American cohorts â€"" Initial insights from real-world study",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1027,TeleSDC-concept for ISO/IEEE 11073 SDC in telemedicine across unreliable networks,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
486,STUDY ON DIGITAL TWIN ORGAN MAPPING PREDICTION METHOD OF TUMOR PUNCTURE TARGET DEVIATION CAUSED BY PATIENT RESPIRATION,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
872,Digital Twins for Managing Health Care Systems: Rapid Literature Review,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
889,A personalized real-time virtual model of whole heart electrophysiology,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
642,Modeling of new drugs clinical trials outcome with patients' digital twins cohorts,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
709,"Artificial Intelligence Ecosystem in Nuclear Medicine: Opportunities, Challenges, and Responsibilities",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
29,Remission of T2DM by digital twin technology with reduction of cardiovascular risk: Interim results of randomised controlled clinical trial,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
337,"Concordance between HbA1c, eA1C and fasting plasma glucose criteria to define type 2 diabetes remission: Insights from the Six months of Digital Twin Intervention Trial",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
99,Identification of electrical rotational activity in noisy cardiac tissue recordings using a deep neural network,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
322,Evolution of right ventricular tissue abnormalities in early-stage Arrhythmogenic Cardiomyopathy: an imaging-based patient-specific modeling study,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1332,Abstract #1042655: Digital Twin Enabled Precision Nutrition Induces Remission of Diabetes Independent of Improvement in the Markers of Obesity,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
527,The Physicist,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
670,Process Analytical Technology Strategy for Lentiviral Manufacture,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1080,A shareable and replicable design for a perfusion bioreactor: decisions on 3D printing supported by a numerical modelling framework,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
524,Generation of cardiac digital twins based on noninvasive cardiac mapping,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
217,Leveraging Digital Twins for Patient Stratification and Treatment Optimization in geriatric oncology: A Breast Cancer Multivariate Clustering Analysis,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
84,Semiautomatic Segmentation for Tumour Dosimetry in PSMA Radiopharmaceutical Therapy using a Novel Digital Twins Framework,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
625,Forecasting treatment response to neoadjuvant therapy in triple-negative breast cancer via an image-guided digital twin,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
975,Trapped re-entry: a dormant source of arrhythmia,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1033,The digital twin: Modular model-based approach to personalized medicine,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
24,Improving FAIRness of computational approaches for cancer: The computational resources for cancer research portal,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
754,"Relationship between obesity, insulin resistance and glycemic changes in type 2 diabetes mellitus: Initial insights from the randomised trial evaluating whole-body digital twin technology enabled precision nutrition for reversal of diabetes",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
118,Life Course Digital Twins-Intelligent Monitoring for Early and Continuous Intervention and Prevention (LifeTIME): Proposal for a Retrospective Cohort Study,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
942,Development of model-based biophantoms for personalized cancer care,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
811,Parameter subset reduction for imaging-based digital twin generation of patients with left ventricular mechanical discoordination,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
211,COMPUTATIONAL PATHOLOGY-BASED DIGITAL TWINS ENABLE THE DISCOVERY OF PREDICTIVE BIOMARKERS FOR PRECISION IMMUNO-ONCOLOGY,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
821,An In Silico Study Quantifying the Effects of Reducing Salivary Gland Blood Flow on Tumor to Organ-at-risk Absorbed Dose Ratios,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
773,Design and application of virtual simulation teaching platform for intelligent manufacturing,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
608,"A Smart Service System for Spatial Intelligence and Onboard Navigation for Individuals with Visual Impairment (VIS(4)ION Thailand): study protocol of a randomized controlled trial of visually impaired students at the Ratchasuda College, Thailand",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
455,Biomaterialomics: Data science-driven pathways to develop fourth-generation biomaterials,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
885,Clinical validation of a novel digital twin framework for ventricular functional substrate simulation in post-infarction patients,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
986,Use of a Digital Twin Virtual Patient Simulator in Critical Care Education: A Pilot Study,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1019,Development and Verification of a Digital Twin Patient Model to Predict Specific Treatment Response During the First 24 Hours of Sepsis,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
463,"""Digital Twin"" based approach to patient specific diagnosis and therapy of OSA",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
470,Non-fungible tokens (NFTs) in healthcare: a thematic analysis and research agenda,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1257,Cardiac digital twins of the adult population: Linking electrophysiological functions to anatomy,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
267,Abstract #1184116: Predictors of Type 2 Diabetes (T2D) Remission using Digital Twin Technology Based on Artificial Intelligence (AI) and Internet of Things (IoT) Technologies,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1172,Evaluation of an open-source pipeline to create patient-specific left atrial models: A reproducibility study,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1088,Determination of the cyclic fatigue behavior of thoracolumbar pedicle screw anchorage from a biomechanical point of view - A finite element analysis,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
157,Impact Of Personalized Diet Using Digital Twin On Body Composition Parameters: 180 Day Analysis Of 209 Participants,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
150,Digital twins in healthcare: An assessment of technological and practical prospects,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1293,An insight in the future of healthcare: integrating digital twin for personalized medicine,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1036,A Preclinical Trial Protocol Using an Ovine Model to Assess Scaffold Implant Biomaterials for Repair of Critical-Sized Mandibular Defects,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
125,A DIGITAL LIVER TWIN DEMONSTRATING THE INTERPLAY BETWEEN BIOMECHANICS AND CELL KINETICS CAN EXPLAIN FIBROTIC SCAR FORMATION,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
961,"1-year Outcomes of A1c Reduction, Weight Loss, and Lowered QRISK3 Scores in Type 2 Diabetes Remission: Insights From an RCCT Leveraging Whole-Body Digital Twin Technology",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
968,Developing MRI-based digital-twins via mathematical modeling and deep learning to predict the response of triple-negative breast cancer to neoadjuvant therapy,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
720,Impact of Heterotopic Ossification on Functional Recovery in Acute Spinal Cord Injury,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1016,"Correlation Among A1c Improvement, Weight Reduction, and Decreased ASCVD Risk in Participants Enrolled for Type 2 Diabetes Remission: Outcomes at 1 Year From an RCCT Using Whole-Body Digital Twin Technology",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1001,Personalized digital humans for rehabilitation and assistive devices,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
948,A multiscale predictive digital twin for neurocardiac modulation,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
682,Reducing HbA1c in Type 2 Diabetes Using Digital Twin Technology-Enabled Precision Nutrition: A Retrospective Analysis,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
877,Spatial PK/PD Model with HER2 Expression for Predicting Individual Tumor Response to T-DM1,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
533,#1707161 Digital Twin Technology in Resolving Polycystic Ovary Syndrome and Improving Metabolic Health: A Comprehensive Case Study,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
242,Digital Twins of Patients with Complex Univentricular Physiology,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1157,Uncertainty Quantification of Regional Cardiac Tissue Properties in Arrhythmogenic Cardiomyopathy Using Adaptive Multiple Importance Sampling,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
687,Metaverse and Medical Diagnosis: A Blockchain-Based Digital Twinning Approach Based on MobileNetV2 Algorithm for Cervical Vertebral Maturation,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1102,An Artificial Intelligence Approach to Estimate the Onset of MS-Related Brain Tissue Loss Before Clinical Onset,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
609,Combined use of 3D printing and mixed reality technology for neurosurgical training: getting ready for brain surgery,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
252,Discovery Viewer (DV): Web-Based Medical AI Model Development Platform and Deployment Hub,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
595,"Correlation between the regression of microalbuminuria, blood pressure reduction and remission of type 2 diabetes: Results of six month RCCT with whole-body digital twin technology",[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
797,Wearable devices,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
21,Holistic Security and Safety for Factories of the Future,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1026,Metastasic breast cancer: Differences in motor activity and sleep patterns by kind of treatment,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
576,#1706999 The Impact of Digital Twin Technology on HbA1c Reduction and ASCVD Risk in Participants Enrolled for Type 2 Diabetes Remission: Outcomes of RCCT At 1 Year,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1199,A data-driven computational methodology towards a pre-hospital Acute Ischaemic Stroke screening tool using haemodynamics waveforms,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
737,Review: Smart agri-systems for the pig industry,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
400,Optimum trajectory learning in musculoskeletal systems with model predictive control and deep reinforcement learning,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
1215,Graph Representation Forecasting of Patient's Medical Conditions: Toward a Digital Twin,[ABSTRACT TEXT REDACTED DUE TO COPYRIGHT]
