id,include,confidence,reasoning
389,N,high,Perception study that does not create or evaluate an implemented human digital twin system
256,N,high,Conference invited abstract only not full text and lacks clear creation or evaluation of human digital twin
1168,N,high,Abstract supplement only full text unavailable not a peer reviewed full article
890,N,high,Meeting abstract only not a full peer reviewed article
662,N,high,Abstract only not full peer reviewed article even though it mentions a human digital twin
1180,N,high,Abstract only not full text fails inclusion criteria
108,N,medium,Mentions digital twin vision but does not claim creating or evaluating a human digital twin
547,N,high,Conference poster abstract only not full text peer reviewed study
1295,N,high,Abstract only not full-text peer-reviewed article
1092,N,high,Abstract only not full text available
972,N,high,Only an abstract poster not full text peer reviewed article
318,Y,high,Full text peer reviewed original study creating and evaluating a non theoretical human digital twin dyad for healthcare
66,Y,medium,Claims multiscale human digital twin modelling with implemented simulations peer reviewed original article full text in English
660,N,high,Preprint states not peer reviewed so it fails the peer reviewed inclusion criterion
1059,N,high,Abstract only not full text
617,N,high,Abstract only not full text available
60,N,high,Conceptual framework in healthcare cybersecurity only no non theoretical human digital twin created or evaluated
1303,Y,high,Peer-reviewed original research implementing and evaluating a human digital twin for gait analysis using patient data
452,N,high,Abstract only lacks full peer reviewed text
768,Y,high,Peer reviewed human study evaluating a digital twin program with full text available in English
436,N,high,Conference abstract only not full peer reviewed article
1173,N,high,Abstract only not full text
414,Y,high,Peer reviewed implementation creating and evaluating patient digital twins on human clinical datasets
949,N,medium,Mentions digital twins only as future development not claiming creation or evaluation of a human digital twin
1178,Y,high,Peer reviewed JoVE study creating and evaluating personalized human digital twin avatars with real time VR BCI
854,Y,medium,Peer reviewed original study using patient specific simulations refers to digital twin and evaluates non theoretical human twin
439,Y,high,Peer reviewed original research using patient specific Digital Twins of human hearts with full text in English
1315,N,high,Poster abstract only not a peer reviewed full text article
1162,Y,high,Peer reviewed study creating patient matched human digital twins calibrated to clinical data and evaluated
700,N,high,Focuses on patient specific model credibility without claiming creation or evaluation of a human digital twin
965,Y,medium,Peer-reviewed original research creating and evaluating a patellofemoral human digital twin with experimental validation and treatment prediction in English
264,Y,high,Peer reviewed research implementing human digital patient twins with non theoretical simulations in English full text
387,N,high,Abstract only not full text available
1073,Y,high,Peer-reviewed original research creates and evaluates human heart digital twins using patient CMR in English
554,Y,high,Peer reviewed study creates a non theoretical human respiration digital twin using human data with full English text
135,Y,high,Peer reviewed original research implementing a patient specific human digital twin with in silico evaluation
503,Y,high,Peer reviewed research creates human cardiac digital twins from clinical data with full text available in English
680,Y,high,Peer reviewed study using human digital twin technology in patients with full English text available
654,N,high,Abstract only not full text and digital twin appears theoretical not peer reviewed
1079, Y,high,Peer reviewed study created a patient specific human heart digital twin with full text in English
1068, N,high,Review article does not present creation or evaluation of a non theoretical human digital twin
520, N,high,Review article only proposes conceptual framework without building or evaluating an implemented human digital twin
1134, Y,high,Peer-reviewed study presenting and evaluating patient-specific cancer digital twin simulations in English full text
146, N,high,Systematic review not original research and does not create or evaluate a non theoretical human digital twin
646, N,high,bioRxiv preprint states not peer reviewed
1200, Y,high,Peer reviewed English study creates and tests personalised metabolic digital twin models in human diabetes patients
1119, Y,high,Peer reviewed original research creates and validates a human infant microbiome digital twin using clinical data
1042, N,high,Implements a mouse liver digital twin not human therefore does not meet human digital twin inclusion
1282, N,high,Digital twin is for mouse liver not human
456, N,high,Mentions MSK digital twin only as potential not claiming creation or evaluation of an HDT
